FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
Tyler Herro,Mia,G,21.5,4,23.2,48.3,20.9,6.8,7,1,19,0.316,19,0.316,0.395,0.45,9.3,3.3,6.8,1.8,12.9,0.25,0.25,0.75,6.6,95.2,114.3
Talen Horton-Tucker,Lal,G,20.65,4,12.1,25.2,27,10.3,5,0.6,19,0.526,5,0.2,0.479,0.496,6.5,3.5,16.3,0.5,8.5,0.25,0,0.75,7.4,95.2,102.1
Andre Iguodala,Mia,G-F,37.48,4,17.8,37,9.9,31.3,0,0,4,0.75,7,0.429,0.682,0.682,3.8,3,8.2,1.3,11.1,1,0.5,1.25,5.5,105.4,101
Isaiah Joe,Phi,G,22.05,4,2.4,4.9,13.7,0,0,0,1,1,2,0,0.333,0.333,0.5,0,0,0.3,13.7,0,0,0,0,,
Romeo Langford,Bos,G-F,21.74,4,27.2,56.7,13.5,2.9,4,1,15,0.467,17,0.353,0.5,0.533,9,2.5,5.3,1.3,6.7,0.75,0.5,0.25,4.5,121,118.7
Boban Marjanovic,Dal,C,32.93,4,20.9,43.4,25.5,8.5,9,0.778,39,0.513,0,0,0.513,0.547,11.8,8,22.3,1,8.3,0,0.25,1,8.7,118.5,99.3
JaVale McGee,Den,C-F,33.5,4,8.5,17.6,17.6,7.3,6,0.333,8,0.375,2,0,0.3,0.316,2,3,20,0.8,11.5,0.25,1.25,0.25,7.9,86.6,100.4
Ben McLemore,Lal,G,28.44,4,8.9,18.6,12.5,10,0,0,3,0,6,0.333,0.333,0.333,1.5,1.8,11.1,0.3,4.2,0.25,0,0.25,4.2,74.7,95.2
Markieff Morris,Lal,F,31.88,4,9.5,19.8,16,14.7,6,0.667,5,0.2,4,0.25,0.278,0.387,2.3,1,5.9,0.8,11.9,0,0.25,0.5,5.2,95.5,99.2
Kendrick Nunn,Mia,G,25.97,4,23.3,48.5,22.1,6.4,2,1,25,0.48,18,0.278,0.453,0.467,10.3,1.5,3.1,1.5,12.1,0.5,0,0.75,4.9,92.4,113.1
Jabari Parker,Bos,F,26.35,4,14.8,30.8,21.8,19.7,8,0.75,16,0.688,5,0.4,0.667,0.693,8.5,3.8,14.6,0.5,5.8,0,0.75,1.5,6.8,112.1,104.2
Duncan Robinson,Mia,F,27.25,4,24.9,51.9,16.5,10.7,10,0.9,2,0.5,27,0.37,0.552,0.614,10.3,2.8,5.4,0.8,5,0.75,0,1,4.6,111.4,101.2
Axel Toupane,Mil,G-F,20,4,2.5,5.1,17.5,0,0,0,2,0.5,2,0.5,0.625,0.625,1.3,1,21.9,0,0,0,0,0,0,,
Cam Reddish,Atl,F-G,21.89,4,23,47.9,20.8,11.6,5,0.8,22,0.455,14,0.643,0.653,0.668,12.8,3.5,8.3,1.8,12.6,1.5,0.5,1.25,7.5,121.3,100.7
Precious Achiuwa,Mia,F,21.84,3,4.1,8.5,34.8,41,4,0.25,4,0.75,0,0,0.75,0.608,2.3,2,23.7,0,0,0,0.67,1.33,0,56.6,97.3
Will Barton,Den,G,30.54,3,27.7,57.7,25.5,8.2,4,1,22,0.545,21,0.333,0.523,0.547,16.3,4.3,8.8,2.7,15.3,0.67,0.33,1.33,8.3,109.5,112.5
Bol Bol,Den,C-F,21.68,3,2,4.1,7.4,0,0,0,0,0,1,0,0,0,0,0.3,9.6,0.7,39.5,0,0,0,0,,
Donte DiVincenzo,Mil,G,24.47,3,23.3,48.5,13.5,27.3,0,0,4,0.25,12,0.167,0.25,0.25,2.7,6.3,14.6,2.7,13.9,1,0.33,2,6.1,63.4,104.6
T.J. Leaf,Por,F,24.23,3,2.5,5.2,24.1,0,0,0,4,0.75,0,0,0.75,0.75,2,1,23.1,0,0,0,0,0,0,,
Nassir Little,Por,F-G,21.44,3,3,6.3,33.5,14.8,4,0.5,0,0,4,0.25,0.375,0.434,1.7,0.3,6.3,0,0,0,0.33,0.33,0,,
Garrison Mathews,Was,G,24.74,3,5.7,11.9,15.2,0,5,0.8,0,0,4,0,0,0.323,1.3,0.7,6.4,0,0,0,0,0,0,76,94.9
Nicolo Melli,Dal,F,30.48,3,6.4,13.3,9.5,0,0,0,2,0,2,0,0,0,0,2,18.2,0,0,0.33,0,0,0,42.2,96.1
